"spcode","kingdom","phylum","class","family","genus","species","common_name","order"
37102906,"Animalia","Chordata","Actinopterygii","Galaxiidae","Unknown","spp",NA,"Osmeriformes"
37106913,"Animalia","Chordata","Actinopterygii","Phosichthyidae","Unknown","spp",NA,"Stomiiformes"
37327928,"Animalia","Chordata","Actinopterygii","Epigonidae","Unknown","spp",NA,"Perciformes"
37120907,"Animalia","Chordata","Actinopterygii","Paraulopidae","Unknown","spp",NA,"Aulopiformes"
37228961,"Animalia","Chordata","Actinopterygii","Ophidiidae","Unknown","spp",NA,"Ophidiiformes"
37264907,"Animalia","Chordata","Actinopterygii","Cyttidae","Unknown","spp",NA,"Zeiformes"
37141901,"Animalia","Chordata","Actinopterygii","Gonorynchidae","Gonorynchus","spp",NA,"Gonorhynchiformes"
37337904,"Animalia","Chordata","Actinopterygii","Carangidae","Trachinotus","spp","dart","Perciformes"
37394000,"Animalia","Chordata","Actinopterygii","Trichonotidae","Unknown","spp","sand divers","Perciformes"
37382000,"Animalia","Chordata","Actinopterygii","Sphyraenidae","Unknown","spp","pikes","Perciformes"
37383000,"Animalia","Chordata","Actinopterygii","Polynemidae","Unknown","spp","threadfin salmons","Perciformes"
37327929,"Animalia","Chordata","Actinopterygii","Howellidae","Unknown","spp",NA,"Perciformes"
37437908,"Animalia","Chordata","Actinopterygii","Zanclidae","Unknown","spp",NA,"Perciformes"
37464911,"Animalia","Chordata","Actinopterygii","Triacanthidae","Unknown","spp",NA,"Tetraodontiformes"
37287952,"Animalia","Chordata","Actinopterygii","Tetrarogidae","Unknown","spp",NA,"Scorpaeniformes"
37393000,"Animalia","Chordata","Actinopterygii","Percophidae","Unknown","spp","duckbills","Perciformes"
37358000,"Animalia","Chordata","Actinopterygii","Bathyclupeidae","Unknown","spp","deepsea herrings","Perciformes"
37356000,"Animalia","Chordata","Actinopterygii","Monodactylidae","Unknown","spp","silver batfishes","Perciformes"
37253000,"Animalia","Chordata","Actinopterygii","Polymixiidae","Unknown","spp","beardfishes","Polymixiiformes"
37298000,"Animalia","Chordata","Actinopterygii","Congiopodidae","Unknown","spp","pigfishes","Scorpaeniformes"
37305000,"Animalia","Chordata","Actinopterygii","Psychrolutidae","Unknown","spp","blobfishes","Scorpaeniformes"
37314000,"Animalia","Chordata","Actinopterygii","Pseudogrammatidae","Unknown","spp","false basslets","Perciformes"
37428903,"Animalia","Chordata","Actinopterygii","Gobiidae","Afurcagobius","spp",NA,"Perciformes"
37428905,"Animalia","Chordata","Actinopterygii","Gobiidae","Amblygobius","spp",NA,"Perciformes"
37085922,"Animalia","Chordata","Actinopterygii","Clupeidae","Unknown","spp",NA,"Clupeiformes"
37292905,"Animalia","Chordata","Actinopterygii","Gnathanacanthidae","Unknown","spp",NA,"Scorpaeniformes"
37446901,"Animalia","Chordata","Actinopterygii","Nomeidae","Amarsipus","spp",NA,"Perciformes"
37327901,"Animalia","Chordata","Actinopterygii","Apogonidae","Apogon","spp",NA,"Perciformes"
37351907,"Animalia","Chordata","Actinopterygii","Lethrinidae","Wattsia","spp",NA,"Perciformes"
37013910,"Animalia","Chordata","Elasmobranchii","Brachaeluridae","Unknown","spp",NA,"Orectolobiformes"
37054000,"Animalia","Chordata","Actinopterygii","Megalopidae","Unknown","spp","tarpons","Elopiformes"
37380000,"Animalia","Chordata","Actinopterygii","Cepolidae","Unknown","spp","bandfishes","Perciformes"
37114000,"Animalia","Chordata","Actinopterygii","Alepocephalidae","Unknown","spp","slickheads","Osmeriformes"
37244902,"Animalia","Chordata","Actinopterygii","Poeciliidae","Phalloceros","spp",NA,"Cyprinodontiformes"
37103901,"Animalia","Chordata","Actinopterygii","Aplochitonidae","Lovettia","spp",NA,"Osmeriformes"
37386907,"Animalia","Chordata","Actinopterygii","Scaridae","Scarus","spp",NA,"Perciformes"
37225901,"Animalia","Chordata","Actinopterygii","Bregmacerotidae","Bregmaceros","spp",NA,"Gadiformes"
37031901,"Animalia","Chordata","Elasmobranchii","Rajidae","Amblyraja","spp",NA,"Rajiformes"
37290910,"Animalia","Chordata","Actinopterygii","Aploactinidae","Neoaploactis","spp",NA,"Scorpaeniformes"
37165901,"Animalia","Chordata","Actinopterygii","Cyprinidae","Carassius","spp",NA,"Cypriniformes"
37435904,"Animalia","Chordata","Actinopterygii","Microdesmidae","Oxymetopon","spp",NA,"Perciformes"
37296916,"Animalia","Chordata","Actinopterygii","Platycephalidae","Suggrundus","spp",NA,"Scorpaeniformes"
37031911,"Animalia","Chordata","Elasmobranchii","Rajidae","Rajella","spp",NA,"Rajiformes"
37261000,"Animalia","Chordata","Actinopterygii","Holocentridae","Unknown","spp","squirrelfishes","Beryciformes"
37395000,"Animalia","Chordata","Actinopterygii","Creediidae","Unknown","spp","sand burrowers","Perciformes"
37460917,"Animalia","Chordata","Actinopterygii","Bothidae","Parabothus","spp",NA,"Pleuronectiformes"
37065901,"Animalia","Chordata","Actinopterygii","Nettastomatidae","Nettastoma","spp",NA,"Anguilliformes"
37439903,"Animalia","Chordata","Actinopterygii","Gempylidae","Gempylus","spp",NA,"Perciformes"
37222901,"Animalia","Chordata","Actinopterygii","Linophrynidae","Haplophryne","spp",NA,"Lophiiformes"
37287910,"Animalia","Chordata","Actinopterygii","Apistidae","Cheroscorpaena","spp",NA,"Scorpaeniformes"
37258902,"Animalia","Chordata","Actinopterygii","Berycidae","Centroberyx","spp",NA,"Beryciformes"
37390901,"Animalia","Chordata","Actinopterygii","Pinguipedidae","Parapercis","spp",NA,"Perciformes"
37465921,"Animalia","Chordata","Actinopterygii","Monacanthidae","Monacanthus","spp",NA,"Tetraodontiformes"
37386901,"Animalia","Chordata","Actinopterygii","Scaridae","Bolbometopon","spp",NA,"Perciformes"
37068902,"Animalia","Chordata","Actinopterygii","Ophichthidae","Apterichtus","spp",NA,"Anguilliformes"
37404905,"Animalia","Chordata","Actinopterygii","Nototheniidae","Notothenia","spp",NA,"Perciformes"
37460907,"Animalia","Chordata","Actinopterygii","Bothidae","Crossorhombus","spp",NA,"Pleuronectiformes"
37296912,"Animalia","Chordata","Actinopterygii","Platycephalidae","Onigocia","spp",NA,"Scorpaeniformes"
37245906,"Animalia","Chordata","Actinopterygii","Pseudomugilidae","Scaturiginichthys","spp",NA,"Atheriniformes"
37206906,"Animalia","Chordata","Actinopterygii","Gobiesocidae","Diademichthys","spp",NA,"Gobiesociformes"
37439911,"Animalia","Chordata","Actinopterygii","Gempylidae","Rexichthys","spp",NA,"Perciformes"
37444904,"Animalia","Chordata","Actinopterygii","Istiophoridae","Makaira","spp",NA,"Perciformes"
37465915,"Animalia","Chordata","Actinopterygii","Monacanthidae","Cantheschenia","spp",NA,"Tetraodontiformes"
37381905,"Animalia","Chordata","Actinopterygii","Mugilidae","Myxus","spp",NA,"Mugiliformes"
37280901,"Animalia","Chordata","Actinopterygii","Centriscidae","Aeoliscus","spp",NA,"Syngnathiformes"
37282939,"Animalia","Chordata","Actinopterygii","Syngnathidae","Trachyrhamphus","spp",NA,"Syngnathiformes"
37177901,"Animalia","Chordata","Actinopterygii","Pangasiidae","Pangasianodon","spp",NA,"Siluriformes"
37428973,"Animalia","Chordata","Actinopterygii","Gobiidae","Priolepis","spp",NA,"Perciformes"
37336903,"Animalia","Chordata","Actinopterygii","Echeneidae","Remora","spp",NA,"Perciformes"
37415901,"Animalia","Chordata","Actinopterygii","Tripterygiidae","Apopterygion","spp",NA,"Perciformes"
37287911,"Animalia","Chordata","Actinopterygii","Tetrarogidae","Cottapistus","spp",NA,"Scorpaeniformes"
37231904,"Animalia","Chordata","Actinopterygii","Zoarcidae","Ophthalmolycus","spp",NA,"Perciformes"
37085918,"Animalia","Chordata","Actinopterygii","Clupeidae","Sardina","spp",NA,"Clupeiformes"
37287913,"Animalia","Chordata","Actinopterygii","Pteroidae","Ebosia","spp",NA,"Scorpaeniformes"
37279903,"Animalia","Chordata","Actinopterygii","Macroramphosidae","Notopogon","spp",NA,"Syngnathiformes"
37287936,"Animalia","Chordata","Actinopterygii","Pteroidae","Pterois","spp",NA,"Scorpaeniformes"
37063902,"Animalia","Chordata","Actinopterygii","Muraenesocidae","Oxyconger","spp",NA,"Anguilliformes"
37282937,"Animalia","Chordata","Actinopterygii","Syngnathidae","Stipecampus","spp",NA,"Syngnathiformes"
37427911,"Animalia","Chordata","Actinopterygii","Callionymidae","Orbonymus","spp",NA,"Perciformes"
37122911,"Animalia","Chordata","Actinopterygii","Myctophidae","Krefftichthys","spp",NA,"Myctophiformes"
37067911,"Animalia","Chordata","Actinopterygii","Congridae","Diploconger","spp",NA,"Anguilliformes"
37300000,"Animalia","Chordata","Actinopterygii","Cottidae","Unknown","spp","sculpins","Scorpaeniformes"
37464909,"Animalia","Chordata","Actinopterygii","Triacanthidae","Trixiphichthys","spp",NA,"Tetraodontiformes"
37122901,"Animalia","Chordata","Actinopterygii","Myctophidae","Electrona","spp","[a lanternfish]","Myctophiformes"
37305901,"Animalia","Chordata","Actinopterygii","Psychrolutidae","Ebinania","spp",NA,"Scorpaeniformes"
37384931,"Animalia","Chordata","Actinopterygii","Labridae","Novaculoides","spp",NA,"Perciformes"
37188909,"Animalia","Chordata","Actinopterygii","Ariidae","Plicofollis","spp",NA,"Siluriformes"
37336902,"Animalia","Chordata","Actinopterygii","Echeneidae","Phtheirichthys","spp",NA,"Perciformes"
37013907,"Animalia","Chordata","Elasmobranchii","Parascylliidae","Parascyllium","spp",NA,"Orectolobiformes"
37108904,"Animalia","Chordata","Actinopterygii","Astronesthidae","Heterophotus","spp",NA,"Stomiiformes"
37109902,"Animalia","Chordata","Actinopterygii","Melanostomiidae","Echiostoma","spp",NA,"Stomiiformes"
37251905,"Animalia","Chordata","Actinopterygii","Melamphaidae","Sio","spp",NA,"Stephanoberyciformes"
37398902,"Animalia","Chordata","Actinopterygii","Leptoscopidae","Lesueurina","spp",NA,"Perciformes"
37436901,"Animalia","Chordata","Actinopterygii","Kurtidae","Kurtus","spp",NA,"Perciformes"
37428934,"Animalia","Chordata","Actinopterygii","Gobiidae","Favonigobius","spp",NA,"Perciformes"
37408904,"Animalia","Chordata","Actinopterygii","Blenniidae","Cirripectes","spp",NA,"Perciformes"
37439907,"Animalia","Chordata","Actinopterygii","Gempylidae","Nesiarchus","spp",NA,"Perciformes"
