"synonym","unacceptreason","aphiaid","scientific","match_type"
"Acheilognathus tabira tohokuensis",NA,1017240,"Acheilognathus tabira","exact"
"Paracheilognathus tabira",NA,1017240,"Acheilognathus tabira","exact"
"Paracheilognathus tabira tabira","senior synonym",1017240,"Acheilognathus tabira","exact"
"Acanthorhodeus taenianalis",NA,1026267,"Acheilognathus taenianalis","exact"
"Acanthorhodeus macropterus tonkinensis","senior synonym",1013099,"Acheilognathus tonkinensis","exact"
"Acanthorhodeus robustus",NA,1013099,"Acheilognathus tonkinensis","exact"
"Acanthorhodeus tonkinensis","synonym",1013099,"Acheilognathus tonkinensis","exact"
"Pseudoperilampus typus",NA,1021108,"Acheilognathus typus","exact"
"Acheilognathus yarmatsutae",NA,1016025,"Acheilognathus yamatsutae","exact"
"Achiroides melanorhijnchus","misspelling",279489,"Achiroides melanorhynchus","exact"
"Achiroides melanorhinchus","misspelling",279489,"Achiroides melanorhynchus","exact"
"Achiroides melanorhynchos","misspelling",279489,"Achiroides melanorhynchus","exact"
"Eurypleura melanorhyncha",NA,279489,"Achiroides melanorhynchus","exact"
"Plagusia melanorhynchus",NA,279489,"Achiroides melanorhynchus","exact"
"Synaptura achira",NA,279489,"Achiroides melanorhynchus","exact"
"Synaptura melanorhyncha",NA,279489,"Achiroides melanorhynchus","exact"
"Achiropsetta heterolepis",NA,234676,"Achiropsetta tricholepis","exact"
"Mancopsetta argentina",NA,234676,"Achiropsetta tricholepis","exact"
"Mancopsetta tricholepis",NA,234676,"Achiropsetta tricholepis","exact"
"Achirus maculipinnis gunteri",NA,279490,"Achirus achirus","exact"
"Monochir punctifer",NA,279490,"Achirus achirus","exact"
"Monochirus lineatus",NA,279490,"Achirus achirus","exact"
"Pleuronectes achirus",NA,279490,"Achirus achirus","exact"
"Achirus achirus declivis",NA,279491,"Achirus declivis","exact"
"Solea klunzingeri",NA,279492,"Achirus klunzingeri","exact"
"Pleuronectes lineatus",NA,279493,"Achirus lineatus","exact"
"Pleuronectes nigricans",NA,279493,"Achirus lineatus","exact"
"Alectis alexandrinus","misspelling",401555,"Alectis alexandrina","exact"
"Blepharis alexandrinus",NA,401555,"Alectis alexandrina","exact"
"Caranx alexandrinus",NA,401555,"Alectis alexandrina","exact"
"Caranx goreensis",NA,401555,"Alectis alexandrina","exact"
"Gallichthys aegyptiacus","synonym",401555,"Alectis alexandrina","exact"
"Gallichtys aegyptiacus",NA,401555,"Alectis alexandrina","exact"
"Gallus alexandrinus",NA,401555,"Alectis alexandrina","exact"
"Hynnis goreensis",NA,401555,"Alectis alexandrina","exact"
"Scyris alexandrina",NA,401555,"Alectis alexandrina","exact"
"Scyris alexandrinus",NA,401555,"Alectis alexandrina","exact"
"Selene goreensis",NA,401555,"Alectis alexandrina","exact"
"Vomer alexandrinus",NA,401555,"Alectis alexandrina","exact"
"Alectes ciliaris","misspelling",159629,"Alectis ciliaris","exact"
"Alectis breviventralis",NA,159629,"Alectis ciliaris","exact"
"Alectis cilaris","misspelling",159629,"Alectis ciliaris","exact"
"Alectis cilliaris","misspelling",159629,"Alectis ciliaris","exact"
"Alectis crinitus",NA,159629,"Alectis ciliaris","exact"
"Alectis indica",NA,159629,"Alectis ciliaris","exact"
"Alectis temmincki",NA,159629,"Alectis ciliaris","exact"
"Blepharichthys crinitus",NA,159629,"Alectis ciliaris","exact"
"Blepharis ciliaris",NA,159629,"Alectis ciliaris","exact"
"Blepharis crinitus",NA,159629,"Alectis ciliaris","exact"
"Blepharis fasciatus",NA,159629,"Alectis ciliaris","exact"
"Blepharis indicus",NA,159629,"Alectis ciliaris","exact"
"Blepharis major",NA,159629,"Alectis ciliaris","exact"
"Blepharis sutor",NA,159629,"Alectis ciliaris","exact"
"Carangoides ajax",NA,159629,"Alectis ciliaris","exact"
"Caranx ajax","junior synonym",159629,"Alectis ciliaris","exact"
"Gallus virescens",NA,159629,"Alectis ciliaris","exact"
"Hynnis cubensis",NA,159629,"Alectis ciliaris","exact"
"Hynnis hopkinsi",NA,159629,"Alectis ciliaris","exact"
"Scyris analis",NA,159629,"Alectis ciliaris","exact"
"Zeus ciliaris",NA,159629,"Alectis ciliaris","exact"
"Zeus crinitus",NA,159629,"Alectis ciliaris","exact"
"Zeus gallus","synonym",159629,"Alectis ciliaris","exact"
"Alectes indicus","misspelling",401562,"Alectis indica","exact"
"Alectis indicus","misspelling",401562,"Alectis indica","exact"
"Hynnis insanus",NA,401562,"Alectis indica","exact"
"Hynnis momsa",NA,401562,"Alectis indica","exact"
"Scyris indicus",NA,401562,"Alectis indica","exact"
"Seriolichthys indicus",NA,401562,"Alectis indica","exact"
"Alectrias alectrolophus alectrolophus",NA,279547,"Alectrias alectrolophus","exact"
"Blennius alectrolophus",NA,279547,"Alectrias alectrolophus","exact"
"Alectridium cirratum",NA,279549,"Alectrias cirratus","exact"
"Alectridium gallinum",NA,279550,"Alectrias gallinus","exact"
"Abudefduf tridentatus",NA,212888,"Abudefduf sordidus","exact"
"Chaetodon sordidus",NA,212888,"Abudefduf sordidus","exact"
"Glyphidodon adenensis",NA,212888,"Abudefduf sordidus","exact"
"Glyphidodon leucopleura",NA,212888,"Abudefduf sordidus","exact"
"Glyphisodon geant",NA,212888,"Abudefduf sordidus","exact"
"Glyphisodon géant",NA,212888,"Abudefduf sordidus","exact"
"Glyphisodon gigas",NA,212888,"Abudefduf sordidus","exact"
"Glyphisodon sordidus",NA,212888,"Abudefduf sordidus","exact"
"Glyphidodon sparoides",NA,212862,"Abudefduf sparoides","exact"
"Glyphisodon sparoides",NA,212862,"Abudefduf sparoides","exact"
"Pomacentrus zanzibarensis",NA,212862,"Abudefduf sparoides","exact"
"Abudefduf analogus",NA,273701,"Abudefduf taurus","exact"
"Euchistodus analogus",NA,273701,"Abudefduf taurus","exact"
"Glyphidodon taurus","misspelling",273701,"Abudefduf taurus","exact"
"Glyphisodon taurus",NA,273701,"Abudefduf taurus","exact"
"Nexilarius taurus",NA,273701,"Abudefduf taurus","exact"
"Glyphidodon troschelii",NA,273702,"Abudefduf troschelii","exact"
"Abudefduf caudobimaculatus",NA,212879,"Abudefduf vaigiensis","exact"
"Abudefduf quinquelineatus","misspelling",212879,"Abudefduf vaigiensis","exact"
"Abudefduf quinquilineatus",NA,212879,"Abudefduf vaigiensis","exact"
"Abudefduf vaigensis","misspelling",212879,"Abudefduf vaigiensis","exact"
"Abudefduf vargensis","misspelling",212879,"Abudefduf vaigiensis","exact"
"Abudefdus vaigiensis","misspelling",212879,"Abudefduf vaigiensis","exact"
"Chaetodon tyrwhitti",NA,212879,"Abudefduf vaigiensis","exact"
"Glyphisodon quadrifasciatus",NA,212879,"Abudefduf vaigiensis","exact"
"Glyphisodon rahti",NA,212879,"Abudefduf vaigiensis","exact"
"Glyphisodon vaigiensis",NA,212879,"Abudefduf vaigiensis","exact"
"Abyssocottus gibbosus subulatus","junior synonym",1018384,"Abyssocottus gibbosus","exact"
"Aleuterius brownii",NA,279462,"Acanthaluteres brownii","exact"
"Bigener brownii",NA,279462,"Acanthaluteres brownii","exact"
"Monacanthus castelnaui","junior synonym",279462,"Acanthaluteres brownii","exact"
"Monacanthus lineoguttatus","junior synonym",279462,"Acanthaluteres brownii","exact"
"Monacanthus yagoi","junior synonym",279462,"Acanthaluteres brownii","exact"
"Aleuteres maculosus","synonym",279463,"Acanthaluteres spilomelanurus","exact"
"Aleuteres paragaudatus",NA,279463,"Acanthaluteres spilomelanurus","exact"
