"level_1","level_2","level_3","level_4","level_5","scientific","qualifiers","CAAB_code"
"Biota","Cnidaria","Corals","Stony corals","Tabulate",,"Recently dead","11290911"
"Biota","Cnidaria","Corals",,,,,"11168000"
"Biota","Cnidaria","Corals",,,,"Alive","11168000"
"Biota","Cnidaria","Corals",,,,"Recruit","11168000"
"Biota","Cnidaria","Corals",,,,"Bleached","11168000"
"Biota","Cnidaria","Corals",,,,"Dead","11168000"
"Biota","Cnidaria","Corals",,,,"Recently dead","11168000"
"Biota","Cnidaria","Hydrocorals","Branching",,,,"11077906"
"Biota","Cnidaria","Hydrocorals","Submassive / encrusting",,,,"11077907"
"Biota","Cnidaria","Hydrocorals",,,,,"11077000"
"Biota","Cnidaria","Hydroids",,,,,"11001000"
"Biota","Cnidaria","True anemones","Flytrap",,,,"11229901"
"Biota","Cnidaria","True anemones","Fourlobed",,,,"11229902"
"Biota","Cnidaria","True anemones","Other anemones",,,,"11229903"
"Biota","Cnidaria","True anemones",,,,,"11229000"
"Biota","Cnidaria","Tube anemones",,,,,"11164000"
"Biota","Cnidaria",,,,,,"11500000"
"Biota","Crustacea","Barnacles","Acorn",,,,"27500902"
"Biota","Crustacea","Barnacles","Stalked",,,,"27500901"
"Biota","Crustacea","Barnacles",,,,,"27500000"
"Biota","Crustacea","Crabs","King crabs",,,,"28836000"
"Biota","Crustacea","Crabs","Porcelain crabs",,,,"28843000"
"Biota","Crustacea","Crabs","True crabs",,,,"28850000"
"Biota","Crustacea","Crabs",,,,,"28000903"
"Biota","Crustacea","Hermit crabs","With anemones",,,,"28825903"
"Biota","Crustacea","Hermit crabs","With shell or stone home ",,,,"28825902"
"Biota","Crustacea","Hermit crabs",,,,,"28825901"
"Biota","Crustacea","Lobsters","Rock lobsters",,,,"28820000"
"Biota","Crustacea","Lobsters","Slipper lobsters / bugs",,,,"28821000"
"Biota","Crustacea","Lobsters","Squat lobsters",,,,"28825904"
"Biota","Crustacea","Lobsters","True lobsters",,,,"28786000"
"Biota","Crustacea","Lobsters",,,,,"28000902"
"Biota","Crustacea","Prawns / shrimps / mysids",,,,,"28000901"
"Biota","Crustacea",,,,,,"27000000"
"Biota","Echinoderms","Feather stars","Stalked crinoids",,,,"25001901"
"Biota","Echinoderms","Feather stars","Unstalked crinoids",,,,"25001902"
"Biota","Echinoderms","Feather stars",,,,,"25001000"
"Biota","Echinoderms","Ophiuroids","Basket stars",,,,"25160902"
"Biota","Echinoderms","Ophiuroids","Brittle / snake stars",,,,"25160901"
"Biota","Echinoderms","Ophiuroids",,,,,"25160000"
"Biota","Echinoderms","Sea cucumbers","Benthic",,,,"25400901"
"Biota","Echinoderms","Sea cucumbers","Pelagic / swimming",,,,"25400902"
"Biota","Echinoderms","Sea cucumbers",,,,,"25400000"
"Biota","Echinoderms","Sea stars",,,,,"25102000"
"Biota","Echinoderms","Sea urchins","Irregular urchins",,,,"25200902"
"Biota","Echinoderms","Sea urchins","Regular urchins",,,,"25200901"
"Biota","Echinoderms","Sea urchins",,,,,"25200000"
"Biota","Echinoderms",,,,,,"25000000"
"Biota","Fishes","Bony fishes",,,,,"37990083"
"Biota","Fishes","Eels",,,,,"37990025"
"Biota","Fishes","Elasmobranchs","Chimaeras",,,,"37990028"
"Biota","Fishes","Elasmobranchs","Rays & skates",,,,"37990030"
"Biota","Fishes","Elasmobranchs","Sharks",,,,"37990016"
"Biota","Fishes","Elasmobranchs",,,,,"37990082"
"Biota","Fishes",,,,,,"37000000"
"Biota","Jellies","Ctenophores",,,,,"12000000"
"Biota","Jellies","Cubozoa",,,,,"11150000"
"Biota","Jellies","Hydromedusae",,,,,"11000901"
"Biota","Jellies","Pyrosomes",,,,,"35101000"
"Biota","Jellies","Salps",,,,,"35100000"
"Biota","Jellies","Scyphozoa",,,,,"11120000"
"Biota","Jellies","Siphonophores",,,,,"11090000"
"Biota","Jellies",,,,,,"80600903"
"Biota","Macroalgae","Articulated calcareous","Green",,,,"80300912"
"Biota","Macroalgae","Articulated calcareous","Green",,,"Drift","80300912"
"Biota","Macroalgae","Articulated calcareous","Green",,,"No epiphytes","80300912"
"Biota","Macroalgae","Articulated calcareous","Green",,,"Epiphytes algae","80300912"
"Biota","Macroalgae","Articulated calcareous","Green",,,"Epiphytes other","80300912"
"Biota","Macroalgae","Articulated calcareous","Red",,,,"80300913"
"Biota","Macroalgae","Articulated calcareous","Red",,,"Drift","80300913"
"Biota","Macroalgae","Articulated calcareous","Red",,,"No epiphytes","80300913"
"Biota","Macroalgae","Articulated calcareous","Red",,,"Epiphytes algae","80300913"
"Biota","Macroalgae","Articulated calcareous","Red",,,"Epiphytes other","80300913"
"Biota","Macroalgae","Articulated calcareous",,,,,"80300911"
"Biota","Macroalgae","Articulated calcareous",,,,"Drift","80300911"
"Biota","Macroalgae","Articulated calcareous",,,,"No epiphytes","80300911"
"Biota","Macroalgae","Articulated calcareous",,,,"Epiphytes algae","80300911"
"Biota","Macroalgae","Articulated calcareous",,,,"Epiphytes other","80300911"
"Biota","Macroalgae","Encrusting","Brown",,,,"80300927"
"Biota","Macroalgae","Encrusting","Green",,,,"80300928"
"Biota","Macroalgae","Encrusting","Red",,,,"80300929"
"Biota","Macroalgae","Encrusting","Red","Calcareous",,,"80300934"
"Biota","Macroalgae","Encrusting","Red","Non-calcareous",,,"80300935"
"Biota","Macroalgae","Encrusting",,,,,"80300926"
"Biota","Macroalgae","Erect coarse branching","Brown",,,,"80300904"
"Biota","Macroalgae","Erect coarse branching","Brown",,,"Drift","80300904"
"Biota","Macroalgae","Erect coarse branching","Brown",,,"No epiphytes","80300904"
"Biota","Macroalgae","Erect coarse branching","Brown",,,"Epiphytes algae","80300904"
"Biota","Macroalgae","Erect coarse branching","Brown",,,"Epiphytes other","80300904"
"Biota","Macroalgae","Erect coarse branching","Green",,,,"80300905"
"Biota","Macroalgae","Erect coarse branching","Green",,,"Drift","80300905"
"Biota","Macroalgae","Erect coarse branching","Green",,,"No epiphytes","80300905"
"Biota","Macroalgae","Erect coarse branching","Green",,,"Epiphytes algae","80300905"
"Biota","Macroalgae","Erect coarse branching","Green",,,"Epiphytes other","80300905"
"Biota","Macroalgae","Erect coarse branching","Red",,,,"80300906"
"Biota","Macroalgae","Erect coarse branching","Red",,,"Drift","80300906"
"Biota","Macroalgae","Erect coarse branching","Red",,,"No epiphytes","80300906"
"Biota","Macroalgae","Erect coarse branching","Red",,,"Epiphytes algae","80300906"
"Biota","Macroalgae","Erect coarse branching","Red",,,"Epiphytes other","80300906"
"Biota","Macroalgae","Erect coarse branching",,,,,"80300903"
"Biota","Macroalgae","Erect coarse branching",,,,"Drift","80300903"
"Biota","Macroalgae","Erect coarse branching",,,,"No epiphytes","80300903"
"Biota","Macroalgae","Erect coarse branching",,,,"Epiphytes algae","80300903"
"Biota","Macroalgae","Erect coarse branching",,,,"Epiphytes other","80300903"
"Biota","Macroalgae","Erect Coarse Branching","Brown",,"Sargassum spp",,"54105902"
"Biota","Macroalgae","Erect Coarse Branching","Brown",,"Sargassum spp","Drift","54105902"
"Biota","Macroalgae","Erect Coarse Branching","Brown",,"Sargassum spp","No epiphytes","54105902"
"Biota","Macroalgae","Erect Coarse Branching","Brown",,"Sargassum spp","Epiphytes algae","54105902"
"Biota","Macroalgae","Erect Coarse Branching","Brown",,"Sargassum spp","Epiphytes other","54105902"
"Biota","Macroalgae","Erect fine branching","Brown",,,,"80300908"
"Biota","Macroalgae","Erect fine branching","Brown",,,"Drift","80300908"
"Biota","Macroalgae","Erect fine branching","Brown",,,"No epiphytes","80300908"
"Biota","Macroalgae","Erect fine branching","Brown",,,"Epiphytes algae","80300908"
"Biota","Macroalgae","Erect fine branching","Brown",,,"Epiphytes other","80300908"
"Biota","Macroalgae","Erect fine branching","Green",,,,"80300909"
"Biota","Macroalgae","Erect fine branching","Green",,,"Drift","80300909"
"Biota","Macroalgae","Erect fine branching","Green",,,"No epiphytes","80300909"
"Biota","Macroalgae","Erect fine branching","Green",,,"Epiphytes algae","80300909"
"Biota","Macroalgae","Erect fine branching","Green",,,"Epiphytes other","80300909"
"Biota","Macroalgae","Erect fine branching","Red",,,,"80300910"
"Biota","Macroalgae","Erect fine branching","Red",,,"Drift","80300910"
"Biota","Macroalgae","Erect fine branching","Red",,,"No epiphytes","80300910"
"Biota","Macroalgae","Erect fine branching","Red",,,"Epiphytes algae","80300910"
"Biota","Macroalgae","Erect fine branching","Red",,,"Epiphytes other","80300910"
"Biota","Macroalgae","Erect fine branching",,,,,"80300907"
"Biota","Macroalgae","Erect fine branching",,,,"Drift","80300907"
"Biota","Macroalgae","Erect fine branching",,,,"No epiphytes","80300907"
"Biota","Macroalgae","Erect fine branching",,,,"Epiphytes algae","80300907"
"Biota","Macroalgae","Erect fine branching",,,,"Epiphytes other","80300907"
"Biota","Macroalgae","Filamentous / filiform","Brown",,,,"80300931"
"Biota","Macroalgae","Filamentous / filiform","Brown",,,"Drift","80300931"
"Biota","Macroalgae","Filamentous / filiform","Brown",,,"No epiphytes","80300931"
"Biota","Macroalgae","Filamentous / filiform","Brown",,,"Epiphytes algae","80300931"
"Biota","Macroalgae","Filamentous / filiform","Brown",,,"Epiphytes other","80300931"
"Biota","Macroalgae","Filamentous / filiform","Green",,,,"80300932"
"Biota","Macroalgae","Filamentous / filiform","Green",,,"Drift","80300932"
"Biota","Macroalgae","Filamentous / filiform","Green",,,"No epiphytes","80300932"
"Biota","Macroalgae","Filamentous / filiform","Green",,,"Epiphytes algae","80300932"
"Biota","Macroalgae","Filamentous / filiform","Green",,,"Epiphytes other","80300932"
"Biota","Macroalgae","Filamentous / filiform","Red",,,,"80300933"
"Biota","Macroalgae","Filamentous / filiform","Red",,,"Drift","80300933"
"Biota","Macroalgae","Filamentous / filiform","Red",,,"No epiphytes","80300933"
"Biota","Macroalgae","Filamentous / filiform","Red",,,"Epiphytes algae","80300933"
"Biota","Macroalgae","Filamentous / filiform","Red",,,"Epiphytes other","80300933"
"Biota","Macroalgae","Filamentous / filiform",,,,,"80300930"
"Biota","Macroalgae","Filamentous / filiform",,,,"Drift","80300930"
"Biota","Macroalgae","Filamentous / filiform",,,,"No epiphytes","80300930"
"Biota","Macroalgae","Filamentous / filiform",,,,"Epiphytes algae","80300930"
"Biota","Macroalgae","Filamentous / filiform",,,,"Epiphytes other","80300930"
"Biota","Macroalgae","Globose / saccate","Brown",,,,"80300915"
"Biota","Macroalgae","Globose / saccate","Brown",,,"Drift","80300915"
"Biota","Macroalgae","Globose / saccate","Brown",,,"No epiphytes","80300915"
"Biota","Macroalgae","Globose / saccate","Brown",,,"Epiphytes algae","80300915"
"Biota","Macroalgae","Globose / saccate","Brown",,,"Epiphytes other","80300915"
"Biota","Macroalgae","Globose / saccate","Green",,,,"80300916"
"Biota","Macroalgae","Globose / saccate","Green",,,"Drift","80300916"
"Biota","Macroalgae","Globose / saccate","Green",,,"No epiphytes","80300916"
"Biota","Macroalgae","Globose / saccate","Green",,,"Epiphytes algae","80300916"
"Biota","Macroalgae","Globose / saccate","Green",,,"Epiphytes other","80300916"
"Biota","Macroalgae","Globose / saccate","Red",,,,"80300917"
"Biota","Macroalgae","Globose / saccate","Red",,,"Drift","80300917"
"Biota","Macroalgae","Globose / saccate","Red",,,"No epiphytes","80300917"
"Biota","Macroalgae","Globose / saccate","Red",,,"Epiphytes algae","80300917"
"Biota","Macroalgae","Globose / saccate","Red",,,"Epiphytes other","80300917"
